Common Name,Threatened status,Kingdom,Class,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
"Cardwell Crayfish, Cardwell Hairy Crayfish",Critically Endangered,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
Southern Right Whale,Endangered,Animalia,Mammalia,-,Yes,-,Yes,Yes,Yes,Yes,Yes
Badgingarra Box,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Black Gum,Vulnerable,Plantae,Magnoliopsida,Yes,Yes,-,-,-,-,Yes,-
Lima Stringybark,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
a stringybark,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Mountain Swamp Gum, Broad-leaved Sallee, Broad-leaved Sally",Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Queensland White Gum, Queensland Western White Gum, Lapunyah, Scrub Gum, White Gum",Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Yanchep Mallee, Wabling Hill Mallee",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Ponton Creek Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Bean's Ironbark,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Beard's Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Camden White Gum, Nepean River Gum",Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Bolivia Stringybark, Bolivia Hill Stringybark",Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Mukinbudin Mallee,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Burdett Gum,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Warby Range Swamp Gum,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Ovenden's Ironbark,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Camfield's Stringybark,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Silver-leaf Candlebark, Mt Canobolas Candlebark",Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Seppelt Range Gum,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Swamp Stringybark,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Crowned Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Silver Gum, Buxton Gum",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Yandanooka Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Silver Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Paynes Find Mallee,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Mallee Box,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Dalveen Blue Box,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Dandaragan Mallee, Mount Misery Mallee",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Brumby Sallee,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
Slaty Red Gum,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Miena Cider Gum,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Goodwood Gum,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Imlay Mallee, Mount Imlay Mallee",Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Eneabba Mallee,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Durikai Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Twin Peak Island Mallee,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Johnson's Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Mount Beerwah Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Araluen Gum,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Albatross Mallee, Green Mallee Ash",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Craven Grey Box,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Laterite Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Scaly Butt Mallee, Scaly-butt Mallee",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Camden Woollybutt, Paddys River Box",Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
McKie's Stringybark,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Goblet Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Mountain White Gum,  King Leopold Range Mallee, Moore's Gum",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Morrisby's Gum, Morrisbys Gum",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Narrow-leaved Peppermint, Narrow-leaved Black Peppermint",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Mt Isa Mallee,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Banyabba Shiny-barked Gum,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Mt Stuart Ironbark,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Wadbilliga Ash,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Mount Compass Swamp Gum, Fleurieu Swamp Gum, Marsh Gum",Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
"Earp's Gum, Earp's Dirty Gum",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Small-leaved Gum,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Brumby Mallee-gum,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Jimberlana Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Midlands Gum, Jingymia Gum",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Silver-leaved Mountain Gum, Silver-leaved Gum",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Pokolbin Mallee,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Black Ironbox,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Silver Mallet,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Mongarlowe Mallee,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Rose Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Robertson's Peppermint,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Blackbutt Candlebark,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Wallangarra White Gum, Willow Gum",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Steedmans Gum,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Jillaga Ash,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Strzelecki Gum,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Ettrema Mallee,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Cork Mallee, Mount Lesueur Mallee",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Jingymia Mallee,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Helidon Ironbark,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Square-fruited Ironbark,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Cadda Road Mallee, Cadda Mallee",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Meelup Mallee,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Alpine Water Skink,Vulnerable,Animalia,Reptilia,Yes,Yes,-,-,-,-,Yes,-
Blue Mountains Water Skink,Endangered,Animalia,Reptilia,-,Yes,-,-,-,-,-,-
"Corangamite Water Skink, Dreeite Water Skink",Endangered,Animalia,Reptilia,-,-,-,-,-,-,Yes,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Norfolk Island Euphorbia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
a herb,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Shiny Cliff Eyebright,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Lamington Eyebright, Mt. Merino Eyebright",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Purple Eyebright, Mueller's Eyebright",Endangered,Plantae,Magnoliopsida,-,Yes,-,-,Yes,-,Yes,-
Osborn's Eyebright,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Thick Eyebright,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Bogong Eyebright,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
"Shy Eyebright, Southport Eyebright",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Swamp Eyebright,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Bufton's Eyebright, Hairy Cliff Eyebright",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
subshrub,Extinct,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Peninsula Eyebright,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Masked Eyebright, Masked Cliff Eyebright",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Grey Falcon,Vulnerable,Animalia,Aves,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes
"Crested Shrike-tit (northern), Northern Shrike-tit",Vulnerable,Animalia,Aves,-,-,Yes,-,-,-,-,Yes
-,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Ball Nut, Possum Nut, Big Nut, Beefwood",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Southern Fontainea,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Coastal Fontainea,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Silky Frankenia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Decurrent-leaved Frankenia,Extinct,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Short-leaved Frankenia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Animalia,Aves,-,-,-,-,-,-,-,-
"White-bellied Storm-Petrel (Tasman Sea), White-bellied Storm-Petrel (Australasian)",Vulnerable,Animalia,Aves,-,Yes,-,Yes,-,Yes,Yes,-
Dunmall's Snake,Vulnerable,Animalia,Reptilia,-,Yes,-,Yes,-,-,-,-
Western Victorian Blackfish,Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
East Gippsland Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Golden Galaxias,Endangered,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
Short-tail Galaxias,Critically Endangered,Animalia,Actinopterygii,-,Yes,-,-,-,-,-,-
Swan Galaxias,Endangered,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
Barred Galaxias,Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Shaw Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Clarence Galaxias,Endangered,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
Tapered Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
West Gippsland Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
McDowall's Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Dargo Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Swamp Galaxias,Vulnerable,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",Critically Endangered,Animalia,Actinopterygii,-,Yes,-,-,Yes,-,Yes,-
"Hunter Galaxias, Hunter Upland Galaxias",Critically Endangered,Animalia,Actinopterygii,-,Yes,-,-,-,-,-,-
Moroka Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Morwell Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Yalmy Galaxias,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,Yes,-
Kosciuszko Galaxias,Critically Endangered,Animalia,Actinopterygii,-,Yes,-,-,-,-,-,-
Stocky Galaxias,Critically Endangered,Animalia,Actinopterygii,-,Yes,-,-,-,-,-,-
Saddled Galaxias,Vulnerable,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
Roundsnout Galaxias,Endangered,Animalia,Actinopterygii,-,Yes,-,-,-,-,Yes,-
Western Trout Minnow,Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,-,Yes
"Western Dwarf Galaxias, Western Mud Minnow",Vulnerable,Animalia,Actinopterygii,-,-,-,-,-,-,-,Yes
"Blackstriped Dwarf Galaxias, Black-stripe Minnow",Endangered,Animalia,Actinopterygii,-,-,-,-,-,-,-,Yes
"Eastern Dwarf Galaxias, Dwarf Galaxias",Endangered,Animalia,Actinopterygii,-,-,-,-,-,Yes,Yes,-
Subantarctic Bedstraw,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Latham's Snipe, Japanese Snipe",Vulnerable,Animalia,Aves,Yes,Yes,-,Yes,Yes,Yes,Yes,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Hann Gardenia,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Scale-leaf Poison,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Metricup Pea,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Bodallin Poison,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Spike Poison, Wongan Poison",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Granite Poison,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Hook-point Poison,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Cranbrook Pea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Yellow-leafed Gastrolobium,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Broad-leaved Gastrolobium,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Butterfly-leaved Gastrolobium,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Green Waxberry,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Yellow Gnat-orchid, Bauer's Midge Orchid, Brittle Midge Orchid",Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"Plumed Midge-orchid, Tallong Midge Orchid",Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Pambula Midge-orchid,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Cardwell Midge Orchid,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
East Lynne Midge-orchid,Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Baeuerlen's Gentian,Critically Endangered,Plantae,Magnoliopsida,Yes,Yes,-,-,-,-,-,-
Bredbo Gentian,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Wingecarribee Gentian,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
New England Gentian,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"White-bellied Frog, Creek Frog",Critically Endangered,Animalia,Amphibia,-,-,-,-,-,-,-,Yes
Orange-bellied Frog,Vulnerable,Animalia,Amphibia,-,-,-,-,-,-,-,Yes
Squatter Pigeon (southern),Vulnerable,Animalia,Aves,-,Yes,-,Yes,-,-,-,-
Partridge Pigeon (western),Vulnerable,Animalia,Aves,-,-,-,-,-,-,-,Yes
Partridge Pigeon (eastern),Vulnerable,Animalia,Aves,-,-,Yes,-,-,-,-,Yes
-,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Lord Howe Gerygone, Lord Howe Warbler",Extinct,Animalia,Aves,-,Yes,-,-,-,-,-,-
"Mountain Angelica, Broad-leafed Carrot",Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Nangetty Grass,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Clover Glycine, Purple Clover",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,Yes,Yes,Yes,-
"Northern River Shark, New Guinea River Shark",Endangered,Animalia,Chondrichthyes,-,-,Yes,-,-,-,-,Yes
Speartooth Shark,Critically Endangered,Animalia,Chondrichthyes,-,-,Yes,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Gypsum Goodenia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
"Sweet Myrtle, Small-leaved Myrtle",Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Angle-stemmed Myrtle,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Western Woolly Cyphanthera, Western Cyphanthera",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Painted Honeyeater,Vulnerable,Animalia,Aves,Yes,Yes,Yes,Yes,Yes,-,Yes,-
"Holly-leaved Graptophyllum, Mt Blackwood Holly",Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Veiny Graptophyllum,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Bog Grevillea,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Mt Lesueur Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Beadle's Grevillea,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Enfield Grevillea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Large-flowered Short-styled Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Burrowa Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Caley's Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Foote's Grevillea, Cataby Grevillea, Black Magic Grevillea",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Colquhoun Grevillea, Nowa Nowa Grevillea",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Christine's Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
a shrub,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Curved-leaf Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Narrow curved-leaf Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Phalanx Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Hairy Phalanx Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Ironstone Grevillea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Zig Zag Grevillea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Drooping Grevillea, Ben Major Grevillea",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Coochin Hills Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Spreading Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Wee Jasper Grevillea,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Anglesea Grevillea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Fan-leaf Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Lake Varley Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Pine Mountain Grevillea, Green Grevillea",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Flame Spider-flower,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
McCutcheon's Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Maxwell's Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Langi Ghiran Grevillea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Grey Grevillea,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Small-flower Grevillea,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Pythara Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Rare Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Carrington Falls Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Corrigin Grevillea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Black Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Spider Net Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Mt Finke Grevillea, Scarlet Grevillea",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Tumut Grevillea,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Magnificent Helicarionid Land Snail,Critically Endangered,Animalia,Gastropoda,-,Yes,-,-,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Leadbeater's Possum,Critically Endangered,Animalia,Mammalia,-,-,-,-,-,-,Yes,-
Net-veined Gyrostemon,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Whiskered Rein Orchid,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Column Hakea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Kowmung Hakea,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Gnarled Corkbark, Fraser's Hakea",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Lesueur Hakea,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Lake Keepit Hakea,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Three-veined Hakea,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Lord Howe Abalone,Critically Endangered,Animalia,Gastropoda,-,Yes,-,-,-,-,-,-
Blue Petrel,Vulnerable,Animalia,Aves,-,Yes,-,Yes,Yes,Yes,Yes,Yes
"Wingless Raspwort, Square Raspwort",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,Yes,-,Yes,-
Tall Velvet Sea-berry,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Prickly Raspwort,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Broad-fruited Haloragis,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Hal,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Rainforest Cool-skink,Vulnerable,Animalia,Reptilia,-,Yes,-,Yes,-,-,-,-
